<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180704,000000,6502.6200000,6796.6200000,6411.5100000,6587.4700000,6054
20180705,000000,6587.4600000,6700.0000000,6449.5000000,6532.9500000,6684
20180706,000000,6532.9600000,6639.0000000,6452.2000000,6600.0000000,4962
20180707,000000,6599.9900000,6843.2600000,6512.0000000,6753.2800000,3037
20180708,000000,6753.2900000,6778.3100000,6671.0000000,6701.9700000,2895
20180709,000000,6701.9700000,6815.8200000,6625.0000000,6664.0100000,4297
20180710,000000,6664.0100000,6679.4700000,6279.0000000,6303.7000000,7471
20180711,000000,6303.6900000,6400.0000000,6281.0100000,6390.0400000,4591
20180712,000000,6390.0400000,6390.0400000,6075.1600000,6249.7500000,8022
20180713,000000,6246.6800000,6335.0900000,6121.5300000,6216.2900000,5703
20180714,000000,6216.2900000,6323.6800000,6187.0000000,6248.6500000,2856
20180715,000000,6248.6500000,6385.3500000,6233.2600000,6348.7300000,3609
20180716,000000,6348.7300000,6750.0000000,6330.3000000,6728.8100000,8381
20180717,000000,6728.8000000,7472.5000000,6663.5100000,7315.0100000,14936
20180718,000000,7315.0000000,7584.8500000,7229.8900000,7378.9900000,15108
20180719,000000,7378.9900000,7560.4100000,7281.4200000,7470.0100000,9034
20180720,000000,7470.0100000,7687.0000000,7259.7600000,7334.4600000,9908
20180721,000000,7334.4600000,7444.7700000,7204.3200000,7408.0000000,4846
20180722,000000,7408.0000000,7569.6900000,7327.7500000,7397.8000000,5219
20180723,000000,7400.0000000,7809.0000000,7378.2600000,7720.0900000,12050
20180724,000000,7720.0800000,8488.0000000,7695.9900000,8385.5000000,18102
20180725,000000,8390.0400000,8482.8400000,8042.0000000,8157.1500000,14056
20180726,000000,8157.1500000,8290.0000000,7840.0000000,7931.9900000,10032
20180727,000000,7932.0000000,8276.5500000,7787.2900000,8184.2100000,11254
20180728,000000,8182.6400000,8230.0000000,8065.0000000,8228.9000000,3887
20180729,000000,8227.3800000,8289.9600000,8127.8700000,8216.3400000,3739
20180730,000000,8216.3300000,8274.9200000,7850.0000000,8170.0100000,10009
20180731,000000,8170.0000000,8173.5700000,7634.2200000,7727.2700000,11330
20180801,000000,7727.2800000,7750.0000000,7440.0100000,7603.9900000,10643
20180802,000000,7603.9900000,7707.5400000,7462.0000000,7533.9200000,6677
20180803,000000,7533.9200000,7538.5300000,7285.0000000,7414.0800000,10672
20180804,000000,7414.0800000,7495.0000000,6940.0000000,7005.0000000,9650
20180805,000000,7005.0000000,7086.5200000,6880.0000000,7030.0100000,5985
20180806,000000,7030.0000000,7163.0000000,6840.6300000,6938.0000000,8161
20180807,000000,6938.0000000,7152.0000000,6647.0700000,6718.2200000,10470
20180808,000000,6718.2200000,6718.2200000,6121.0400000,6282.5000000,21531
20180809,000000,6282.5000000,6633.2100000,6177.5100000,6546.4500000,13492
20180810,000000,6546.4600000,6584.8000000,6015.0000000,6146.0100000,7122
20180811,000000,6146.0100000,6485.7600000,6003.0000000,6235.5600000,9521
20180812,000000,6236.0000000,6482.0000000,6169.4600000,6316.0100000,7798
20180813,000000,6316.0000000,6544.9900000,6139.5700000,6253.6700000,9978
20180814,000000,6253.6700000,6258.3200000,5900.0000000,6195.0100000,16836
20180815,000000,6195.0000000,6636.0000000,6189.0000000,6269.0100000,16640
20180816,000000,6269.0100000,6475.0100000,6200.0000000,6315.9000000,8663
20180817,000000,6315.9000000,6585.5000000,6290.3900000,6585.4900000,9859
20180818,000000,6585.5000000,6613.2300000,6312.0000000,6396.6400000,6451
20180819,000000,6396.6300000,6547.3400000,6328.4500000,6489.5300000,4106
20180820,000000,6489.5300000,6525.0000000,6227.7100000,6258.7400000,6300
20180821,000000,6258.7400000,6490.0000000,6249.1200000,6475.8900000,6626
20180822,000000,6475.8900000,6890.6500000,6250.0000000,6359.9900000,15769
20180823,000000,6359.9900000,6568.3700000,6348.6900000,6526.3600000,6248
20180824,000000,6526.3600000,6719.0000000,6451.5500000,6690.8800000,6894
20180825,000000,6690.8800000,6790.0000000,6668.0000000,6737.5200000,4647
20180826,000000,6737.5200000,6773.0000000,6572.0000000,6709.9800000,4751
20180827,000000,6709.9800000,6947.6000000,6654.1300000,6911.9000000,5697
20180828,000000,6911.9000000,7128.0000000,6864.9600000,7071.0100000,11364
20180829,000000,7071.0100000,7119.0000000,6907.4200000,7030.9000000,7497
20180830,000000,7030.9200000,7048.6600000,6790.0000000,6983.0000000,8015
20180831,000000,6983.0000000,7090.4600000,6884.4900000,7015.0100000,7572
20180901,000000,7015.0100000,7275.0000000,7010.9800000,7191.0800000,6076
20180902,000000,7191.0700000,7328.3600000,7130.0000000,7295.0000000,5331
20180903,000000,7294.9900000,7332.4600000,7192.9900000,7256.9800000,5587
20180904,000000,7256.4800000,7402.5000000,7229.9400000,7360.0000000,7691
20180905,000000,7359.9900000,7384.0000000,6664.0700000,6687.9600000,14200
20180906,000000,6687.9600000,6703.7300000,6272.7300000,6495.0000000,18340
20180907,000000,6495.0000000,6530.0000000,6325.0000000,6395.0100000,8021
20180908,000000,6395.0100000,6460.0000000,6116.0000000,6188.0000000,7221
20180909,000000,6188.0000000,6450.0000000,6147.0000000,6235.0100000,5553
20180910,000000,6235.0200000,6375.1300000,6221.4900000,6300.0000000,6743
20180911,000000,6300.0000000,6405.0000000,6176.7600000,6282.5300000,7264
20180912,000000,6282.5300000,6340.9400000,6191.1000000,6326.0000000,7172
20180913,000000,6326.0000000,6530.0000000,6323.6400000,6485.9900000,9407
20180914,000000,6485.9900000,6580.0000000,6378.0500000,6478.0400000,7296
20180915,000000,6478.0500000,6565.0000000,6470.0000000,6518.6800000,3225
20180916,000000,6518.6800000,6521.7500000,6323.6800000,6498.0000000,3338
20180917,000000,6498.0000000,6529.7500000,6207.5500000,6250.7000000,9005
20180918,000000,6250.7100000,6384.0400000,6228.0000000,6335.7000000,5907
20180919,000000,6335.6900000,6511.0000000,6106.3700000,6386.9400000,10479
