((0, (494,)),) 	 (14, 1, 1)
((0, (131,)),) 	 (16, 1, 1)
((0, (110,)),) 	 (18, 1, 1)
((0, (181,)),) 	 (19, 1, 1)
((0, (968,)),) 	 (4, 1, 1)
((0, (831,)),) 	 (6, 1, 1)
((0, (612,)),) 	 (7, 1, 1)
((0, (222,)),) 	 (21, 1, 1)
((0, (870,)),) 	 (8, 1, 1)
((0, (392,)),) 	 (9, 1, 1)
((0, (404,)),) 	 (10, 1, 1)
((0, (383,)),) 	 (8, 1, 1)
((0, (609,)),) 	 (9, 1, 1)
((0, (864,)),) 	 (8, 1, 1)
((0, (489,)),) 	 (12, 1, 1)
((0, (144,)),) 	 (12, 1, 1)
((0, (945,)),) 	 (6, 1, 1)
((0, (703,)),) 	 (5, 1, 1)
((0, (327,)),) 	 (6, 1, 1)
((0, (748,)),) 	 (9, 1, 1)
((0, (628,)),) 	 (10, 1, 1)
((0, (184,)),) 	 (16, 1, 1)
((0, (335,)),) 	 (10, 1, 1)
((0, (723,)),) 	 (11, 1, 1)
((0, (471,)),) 	 (16, 1, 1)
((0, (863,)),) 	 (9, 1, 1)
((0, (934,)),) 	 (10, 1, 1)
((0, (797,)),) 	 (7, 1, 1)
((0, (1,)),) 	 (13, 1, 1)
((0, (2,)),) 	 (18, 1, 1)
((0, (3,)),) 	 (16, 1, 1)
((0, (4,)),) 	 (13, 1, 1)
((0, (839,)),) 	 (8, 1, 1)
((0, (22,)),) 	 (16, 1, 1)
((0, (205,)),) 	 (16, 1, 1)
((0, (206,)),) 	 (20, 1, 1)
((0, (207,)),) 	 (17, 1, 1)
((0, (225,)),) 	 (19, 1, 1)
((0, (226,)),) 	 (16, 1, 1)
((0, (227,)),) 	 (18, 1, 1)
((0, (228,)),) 	 (19, 1, 1)
((0, (229,)),) 	 (15, 1, 1)
((0, (28,)),) 	 (16, 1, 1)
((0, (812,)),) 	 (7, 1, 1)
((0, (356,)),) 	 (5, 1, 1)
((0, (714,)),) 	 (10, 1, 1)
((0, (669,)),) 	 (11, 1, 1)
((0, (296,)),) 	 (9, 1, 1)
((0, (790,)),) 	 (6, 1, 1)
((0, (195,)),) 	 (15, 1, 1)
((0, (622,)),) 	 (7, 1, 1)
((0, (824,)),) 	 (8, 1, 1)
((0, (597,)),) 	 (6, 1, 1)
((0, (67,)),) 	 (21, 1, 1)
((0, (662,)),) 	 (10, 1, 1)
((0, (506,)),) 	 (4, 1, 1)
((0, (317,)),) 	 (5, 1, 1)
((0, (407,)),) 	 (7, 1, 1)
((0, (30,)),) 	 (19, 1, 1)
((0, (636,)),) 	 (11, 1, 1)
((0, (11,)),) 	 (16, 1, 1)
((0, (822,)),) 	 (9, 1, 1)
((0, (736,)),) 	 (8, 1, 1)
((0, (56,)),) 	 (20, 1, 1)
((0, (685,)),) 	 (12, 1, 1)
((0, (336,)),) 	 (8, 1, 1)
((0, (190,)),) 	 (18, 1, 1)
((0, (191,)),) 	 (17, 1, 1)
((0, (694,)),) 	 (12, 1, 1)
((0, (192,)),) 	 (18, 1, 1)
