                                                                                      support  length  time
((12, (2,)), (16, (2,)))                                                                  153       2     1
((5, (2,)), (16, (2,)))                                                                   152       2     1
((6, (2,)), (16, (2,)))                                                                   152       2     1
((21, (4,)), (26, (2,)))                                                                  152       2     1
((6, (3,)), (12, (4,)))                                                                   151       2     1
((7, (2,)), (12, (4,)))                                                                   151       2     1
((22, (2,)), (27, (3,)))                                                                  151       2     1
((24, (1,)),)                                                                             150       1     1
((0, (2,)), (15, (3,)))                                                                   150       2     1
((27, (1,)),)                                                                             149       1     1
((2, (1,)),)                                                                              148       1     1
((5, (3,)), (10, (3,)), (18, (2,)))                                                       148       3     1
((0, (2,)), (11, (2,)))                                                                   147       2     1
((4, (3, 3)),)                                                                            147       2     2
((6, (4,)), (10, (4,)))                                                                   144       2     1
((7, (4,)),)                                                                              144       1     1
((2, (2,)), (27, (2,)))                                                                   144       2     1
((16, (1,)),)                                                                             144       1     1
((10, (4,)), (21, (4,)))                                                                  143       2     1
((2, (2,)), (25, (2,)))                                                                   142       2     1
((0, (2,)), (23, (2,)))                                                                   140       2     1
((2, (3,)), (12, (4,)))                                                                   139       2     1
((4, (1,)),)                                                                              139       1     1
((4, (2,)), (26, (3,)))                                                                   138       2     1
((8, (3,)), (19, (2,)))                                                                   137       2     1
((3, (4,)), (16, (2,)))                                                                   137       2     1
((17, (4,)), (23, (4,)))                                                                  137       2     1
((2, (3,)), (12, (3,)), (13, (3,)))                                                       136       3     1
((8, (3,)), (13, (2,)))                                                                   136       2     1
((3, (3,)), (16, (3,)), (25, (3,)))                                                       136       3     1
((9, (3,)), (17, (4,)))                                                                   136       2     1
((18, (2,)), (21, (2,)))                                                                  135       2     1
((2, (2,)), (4, (2,)))                                                                    135       2     1
((8, (4,)), (18, (3,)), (25, (3,)))                                                       134       3     1
((14, (4,)), (22, (3,)), (27, (3,)))                                                      134       3     1
((18, (3,)), (23, (2,)))                                                                  133       2     1
((5, (2,)), (12, (2,)))                                                                   132       2     1
((21, (4,)), (22, (2,)))                                                                  131       2     1
((10, (2,)), (24, (3,)))                                                                  131       2     1
((10, (1,)),)                                                                             130       1     1
((12, (3,)), (14, (3,)), (23, (3,)))                                                      130       3     1
((14, (2,)), (24, (2,)))                                                                  128       2     1
((14, (4,)), (15, (4,)), (22, (3,)))                                                      128       3     1
((18, (4,)),)                                                                             127       1     1
((1, (3,)), (15, (3,)), (18, (2,)))                                                       127       3     1
((24, (3, 3)),)                                                                           127       2     2
((1, (4,)), (2, (3,)))                                                                    124       2     1
((8, (4,)), (22, (2,)))                                                                   122       2     1
((3, (3,)), (16, (2,)), (27, (3,)))                                                       122       3     1
((11, (1,)),)                                                                             121       1     1
((1, (4,)), (11, (4,)))                                                                   121       2     1
((3, (3,)), (11, (3,)), (16, (2,)))                                                       120       3     1
((12, (3, 2)),)                                                                           118       2     2
((0, (3,)), (3, (2,)))                                                                    118       2     1
((21, (2,)), (22, (2,)))                                                                  118       2     1
((23, (1,)),)                                                                             118       1     1
((4, (4,)), (10, (4,)))                                                                   117       2     1
((10, (2,)), (14, (3,)), (18, (2,)))                                                      116       3     1
((0, (3,)), (23, (3,)), (26, (2,)))                                                       116       3     1
((8, (5,)),)                                                                              115       1     1
((3, (3,)), (5, (3,)), (9, (3,)), (17, (3,)))                                             115       4     1
((19, (3, 2)),)                                                                           115       2     2
((6, (2,)), (12, (2,)))                                                                   113       2     1
((21, (3,)), (23, (4,)))                                                                  113       2     1
((0, (2,)), (1, (2,)))                                                                    112       2     1
((6, (3,)), (12, (2,)))                                                                   112       2     1
((5, (3,)), (7, (2,)), (13, (3,)), (25, (3,)))                                            112       4     1
((4, (3,)), (16, (3,)), (23, (3,)))                                                       112       3     1
((21, (4,)), (26, (4,)))                                                                  112       2     1
((9, (4,)), (17, (3,)), (24, (2,)))                                                       110       3     1
((20, (4,)), (27, (2,)))                                                                  110       2     1
((9, (4,)), (21, (4,)), (26, (3,)))                                                       109       3     1
((12, (5,)),)                                                                             109       1     1
((7, (2,)), (9, (3,)), (13, (3,)), (17, (3,)))                                            109       4     1
((11, (3, 4)),)                                                                           109       2     2
((8, (2,)), (19, (2,)))                                                                   108       2     1
((6, (2,)), (9, (2,)))                                                                    108       2     1
((9, (3,)), (15, (3,)), (25, (2,)))                                                       107       3     1
((8, (3,)), (16, (2,)), (23, (2,)))                                                       107       3     1
((20, (2,)), (27, (2,)))                                                                  106       2     1
((0, (4,)), (15, (3,)))                                                                   106       2     1
((5, (2,)), (19, (2,)))                                                                   105       2     1
((10, (3,)), (14, (3,)), (22, (3,)), (25, (3,)))                                          104       4     1
((4, (2,)), (17, (2,)))                                                                   104       2     1
((1, (5,)),)                                                                              104       1     1
((7, (3,)), (9, (4,)), (17, (4,)))                                                        104       3     1
((16, (2,)), (24, (2,)), (26, (3,)))                                                      103       3     1
((4, (2,)), (13, (3,)), (20, (3,)))                                                       103       3     1
((6, (4,)), (12, (4,)), (27, (4,)))                                                       103       3     1
((18, (3,)), (22, (4,)))                                                                  102       2     1
((5, (5,)),)                                                                              102       1     1
((11, (2, 2)),)                                                                           102       2     2
((19, (4,)), (22, (2,)))                                                                  102       2     1
((9, (5,)),)                                                                              101       1     1
((16, (4,)), (17, (4,)))                                                                  100       2     1
((12, (3,)), (19, (3, 3)))                                                                100       3     2
((8, (4,)), (26, (4,)))                                                                   100       2     1
((6, (4,)), (16, (3,)), (17, (3,)))                                                       100       3     1
((6, (4,)), (26, (4,)))                                                                   100       2     1
((9, (3,)), (17, (2,)))                                                                   100       2     1
((0, (3,)), (5, (3,)), (8, (3,)), (23, (3,)))                                              99       4     1
((1, (3,)), (15, (4,)), (21, (3,)))                                                        99       3     1
((11, (2, 4)),)                                                                            99       2     2
((14, (2,)), (23, (2,)))                                                                   99       2     1
((0, (3, 3)), (5, (3, 3)))                                                                 97       4     2
((25, (1,)),)                                                                              97       1     1
((4, (4,)), (23, (4,)))                                                                    95       2     1
((1, (4,)), (26, (4,)))                                                                    94       2     1
((0, (3,)), (7, (3,)), (15, (3,)))                                                         94       3     1
((2, (4,)), (12, (3,)), (13, (3,)))                                                        94       3     1
((22, (1,)),)                                                                              94       1     1
((0, (2,)), (2, (3,)))                                                                     94       2     1
((1, (1,)),)                                                                               93       1     1
((7, (1,)), (27, (1,)))                                                                    93       2     1
((0, (3,)), (5, (3,)), (18, (3,)), (25, (3,)))                                             92       4     1
((2, (5,)),)                                                                               90       1     1
((8, (3,)), (9, (3,)), (17, (3,)), (25, (3,)))                                             90       4     1
((2, (2,)), (21, (4,)))                                                                    89       2     1
((5, (4, 4)),)                                                                             89       2     2
((0, (2,)), (1, (3,)), (27, (2,)))                                                         89       3     1
((8, (3,)), (23, (3,)), (26, (3,)))                                                        89       3     1
((0, (3,)), (5, (4,)), (15, (4,)))                                                         88       3     1
((6, (5,)),)                                                                               87       1     1
((19, (2,)), (20, (4,)))                                                                   86       2     1
((4, (4,)), (25, (4,)))                                                                    86       2     1
((5, (3,)), (9, (2,)))                                                                     86       2     1
((11, (4,)), (20, (5,)))                                                                   86       2     1
((14, (4,)), (22, (3,)), (27, (4,)))                                                       86       3     1
((4, (3,)), (23, (2,)), (26, (2,)))                                                        86       3     1
((15, (4,)), (19, (2,)))                                                                   85       2     1
((16, (2,)), (23, (4,)))                                                                   85       2     1
((1, (2,)), (2, (4,)))                                                                     85       2     1
((3, (1,)),)                                                                               84       1     1
((19, (5,)),)                                                                              84       1     1
((6, (2,)), (15, (2,)))                                                                    84       2     1
((3, (4,)), (10, (2,)))                                                                    84       2     1
((10, (3,)), (14, (3,)), (21, (3,)), (22, (3,)))                                           83       4     1
((13, (3,)), (14, (4,)), (26, (2,)))                                                       83       3     1
((12, (3,)), (20, (2,)))                                                                   82       2     1
((24, (4,)), (26, (3,)))                                                                   82       2     1
((0, (4,)), (4, (3,)), (9, (4,)))                                                          82       3     1
((19, (2,)), (26, (1,)))                                                                   80       2     1
((4, (2,)), (25, (3,)), (27, (2,)))                                                        80       3     1
((14, (5,)),)                                                                              79       1     1
((2, (2,)), (9, (2,)))                                                                     79       2     1
((12, (4,)), (21, (3,)), (26, (3,)))                                                       79       3     1
((10, (1,)), (27, (1,)))                                                                   78       2     1
((9, (4,)), (10, (3,)), (17, (3,)), (25, (3,)))                                            77       4     1
((1, (3,)), (3, (3,)), (19, (4,)))                                                         77       3     1
((21, (2,)), (23, (3,)))                                                                   77       2     1
((13, (4, 2)),)                                                                            76       2     2
((0, (3,)), (4, (3,)), (18, (3,)), (25, (3,)))                                             76       4     1
((14, (2,)), (22, (3,)))                                                                   76       2     1
((23, (4,)), (25, (4,)))                                                                   75       2     1
((2, (3,)), (10, (2,)), (27, (2,)))                                                        75       3     1
((14, (4,)), (15, (3,)), (22, (3,)))                                                       75       3     1
((17, (2,)), (24, (1,)))                                                                   75       2     1
((19, (1,)),)                                                                              74       1     1
((0, (3,)), (3, (4,)), (20, (4,)))                                                         74       3     1
((10, (3,)), (19, (3, 4)))                                                                 73       3     2
((2, (3,)), (12, (4,)), (13, (3,)))                                                        73       3     1
((2, (3,)), (20, (3,)), (27, (3,)))                                                        73       3     1
((21, (5,)),)                                                                              72       1     1
((7, (2,)), (12, (3,)), (13, (2,)))                                                        72       3     1
((7, (3, 1)),)                                                                             72       2     2
((16, (1,)), (24, (1,)))                                                                   72       2     1
((3, (2,)), (18, (3,)))                                                                    71       2     1
((1, (4, 3)), (19, (4,)))                                                                  71       3     2
((5, (4, 2)),)                                                                             70       2     2
((1, (3,)), (4, (2,)), (15, (4,)))                                                         70       3     1
((14, (4,)), (22, (4,)), (27, (4,)))                                                       70       3     1
((4, (2,)), (26, (1,)))                                                                    70       2     1
((23, (5,)),)                                                                              69       1     1
((14, (2,)), (27, (1,)))                                                                   69       2     1
((4, (4,)), (15, (5,)))                                                                    69       2     1
((8, (3,)), (9, (4,)), (17, (4,)))                                                         69       3     1
((1, (4,)), (16, (2,)), (18, (3,)))                                                        68       3     1
((9, (4,)), (18, (2,)), (26, (2,)))                                                        68       3     1
((2, (3,)), (10, (3,)), (27, (2,)))                                                        68       3     1
((0, (2,)), (2, (4,)))                                                                     68       2     1
((0, (3,)), (4, (3,)), (14, (3,)), (18, (2,)))                                             67       4     1
((13, (1,)),)                                                                              67       1     1
((4, (4,)), (26, (2,)))                                                                    67       2     1
((3, (5,)),)                                                                               67       1     1
((21, (2,)), (23, (2,)), (26, (2,)))                                                       67       3     1
((16, (4,)), (23, (4,)))                                                                   66       2     1
((1, (3,)), (14, (3,)), (15, (4,)), (22, (3,)))                                            66       4     1
((16, (1,)), (17, (2,)))                                                                   65       2     1
((12, (1,)),)                                                                              65       1     1
((18, (3, 1)),)                                                                            65       2     2
((3, (3,)), (4, (3,)), (16, (3,)), (27, (3,)))                                             65       4     1
((5, (2,)), (16, (1,)))                                                                    65       2     1
((5, (4,)), (8, (4,)), (18, (3,)), (25, (3,)))                                             64       4     1
((3, (3,)), (9, (4,)), (11, (4,)))                                                         64       3     1
((4, (4,)), (15, (4,)), (26, (3,)))                                                        63       3     1
((0, (3,)), (10, (3,)), (15, (3,)), (21, (3,)))                                            61       4     1
((20, (1,)),)                                                                              61       1     1
((24, (4, 3)),)                                                                            61       2     2
((4, (2,)), (20, (3,)), (26, (2,)), (27, (2,)))                                            61       4     1
((10, (2,)), (26, (1,)))                                                                   60       2     1
((12, (3,)), (14, (3,)), (16, (3,)), (17, (3,)))                                           60       4     1
((5, (3,)), (6, (4,)), (20, (3,)))                                                         60       3     1
((2, (1,)), (21, (2,)))                                                                    59       2     1
((6, (1,)),)                                                                               59       1     1
((2, (1,)), (6, (2,)))                                                                     59       2     1
((8, (4,)), (9, (4,)), (13, (3,)), (19, (4,)))                                             59       4     1
((4, (2,)), (10, (2,)), (24, (2,)), (26, (2,)))                                            59       4     1
((9, (3,)), (17, (4,)), (24, (2,)))                                                        58       3     1
((12, (5,)), (27, (4,)))                                                                   58       2     1
((12, (4,)), (14, (4,)), (22, (3,)), (27, (4,)))                                           58       4     1
((1, (3,)), (3, (3,)), (15, (3,)), (24, (2,)))                                             58       4     1
((8, (2,)), (20, (2,)))                                                                    58       2     1
((1, (4,)), (2, (4,)), (12, (4,)), (27, (4,)))                                             58       4     1
((4, (3, 3)), (13, (4,)))                                                                  57       3     2
((11, (4,)), (12, (5,)))                                                                   57       2     1
((3, (4,)), (9, (4,)), (13, (3,)), (18, (3,)))                                             57       4     1
((14, (1,)),)                                                                              57       1     1
