                                                                                      support  length  time
((3, (3,)), (7, (3,)), (15, (3,)), (16, (3,)))                                             14       4     1
((7, (2, 1)), (13, (3,)))                                                                  14       3     2
((0, (2,)), (2, (4,)))                                                                     13       2     1
((24, (4,)), (26, (3,)))                                                                   13       2     1
((14, (2,)), (24, (2,)))                                                                   13       2     1
((2, (4,)), (9, (4,)))                                                                     13       2     1
((2, (4,)), (10, (2, 3)), (18, (2,)))                                                      13       4     2
((10, (3,)), (19, (3, 4)))                                                                 13       3     2
((2, (2,)), (4, (4,)))                                                                     13       2     1
((0, (2,)), (11, (2,)))                                                                    13       2     1
((0, (3,)), (5, (3,)), (18, (3,)), (25, (3,)))                                             13       4     1
((0, (4,)), (17, (2,)))                                                                    13       2     1
((0, (4,)), (16, (3,)), (17, (4,)), (23, (4,)))                                            13       4     1
((4, (3,)), (16, (3,)), (23, (3,)))                                                        13       3     1
((10, (4,)), (12, (5,)), (14, (4,)), (22, (4,)), (27, (4,)))                               13       5     1
((7, (4,)), (26, (4,)))                                                                    13       2     1
((5, (1,)), (10, (1,)), (11, (1,)), (14, (1,)), (27, (1,)))                                13       5     1
((0, (3,)), (10, (3,)), (15, (3,)), (21, (3,)))                                            13       4     1
((5, (2,)), (19, (2,)))                                                                    13       2     1
((5, (2,)), (11, (2, 4)))                                                                  13       3     2
((0, (1,)), (22, (1,)), (23, (1,)), (26, (1,)))                                            13       4     1
((6, (3, 3)), (12, (2,)), (20, (3,)))                                                      13       4     2
((24, (1, 3)),)                                                                            13       2     2
((6, (4,)), (13, (3,)), (23, (4,)), (27, (3,)))                                            13       4     1
((0, (2,)), (19, (2,)), (26, (1,)))                                                        13       3     1
((4, (2,)), (18, (3,)), (22, (2,)), (27, (3,)))                                            13       4     1
((2, (2,)), (9, (2,)))                                                                     13       2     1
((12, (2,)), (20, (3, 3)), (27, (2,)))                                                     13       4     2
((3, (2, 4)), (16, (2,)), (24, (2,)))                                                      13       4     2
((2, (2, 3)), (5, (3,)), (27, (2,)))                                                       13       4     2
((1, (2,)), (8, (3,)), (23, (3,)), (26, (2,)))                                             13       4     1
((14, (2,)), (23, (2,)))                                                                   13       2     1
((0, (4,)), (1, (3,)), (7, (2,)))                                                          13       3     1
((6, (4,)), (22, (2,)), (27, (3,)))                                                        13       3     1
((7, (1,)), (27, (1,)))                                                                    13       2     1
((7, (2,)), (12, (2,)))                                                                    12       2     1
((4, (3, 3)), (10, (4,)), (27, (3,)))                                                      12       4     2
((18, (4,)), (26, (4,)))                                                                   12       2     1
((10, (4,)), (21, (4,)))                                                                   12       2     1
((14, (3,)), (26, (3,)))                                                                   12       2     1
((0, (2,)), (15, (3,)), (20, (2,)), (27, (2,)))                                            12       4     1
((3, (5,)), (18, (3,)))                                                                    12       2     1
((6, (4,)), (9, (4,)), (19, (4, 3)), (26, (4,)))                                           12       5     2
((0, (2,)), (2, (3,)))                                                                     12       2     1
((8, (4,)), (16, (4,)), (23, (4,)), (26, (4,)))                                            12       4     1
((0, (4,)), (2, (3,)), (23, (4,)))                                                         12       3     1
