#   	Company                                             	Symbol 	Weight   	Price    	Change
148 	Baxter International Inc.                           	BAX    	0.155945 	82.63    	1.23 (1.51%)
149 	Roper Technologies Inc.                             	ROP    	0.155915 	376.00   	1.70 (0.45%)
150 	Marriott International Inc. Class A                 	MAR    	0.155834 	140.16   	0.64 (0.46%)
151 	Bank of New York Mellon Corporation                 	BK     	0.154505 	43.24    	-0.17 (-0.38%)
152 	BB&T Corporation                                    	BBT    	0.153783 	49.87    	-0.18 (-0.36%)
153 	FedEx Corporation                                   	FDX    	0.153624 	161.24   	2.05 (1.29%)
154 	Sempra Energy                                       	SRE    	0.153222 	140.07   	1.02 (0.73%)
155 	Ross Stores Inc.                                    	ROST   	0.152688 	102.23   	0.25 (0.25%)
156 	Sherwin-Williams Company                            	SHW    	0.152206 	459.54   	-2.60 (-0.56%)
157 	Autodesk Inc.                                       	ADSK   	0.152083 	173.64   	2.29 (1.34%)
158 	Occidental Petroleum Corporation                    	OXY    	0.149493 	49.71    	0.10 (0.20%)
159 	Public Storage                                      	PSA    	0.149333 	249.58   	2.07 (0.84%)
160 	Cognizant Technology Solutions Corporation Class A  	CTSH   	0.149013 	64.52    	0.14 (0.21%)
161 	Marathon Petroleum Corporation                      	MPC    	0.147888 	54.64    	0.00 (0.00%)
162 	Fiserv Inc.                                         	FISV   	0.147738 	93.96    	0.12 (0.13%)
163 	Dollar General Corporation                          	DG     	0.145659 	140.31   	0.76 (0.54%)
164 	HCA Healthcare Inc                                  	HCA    	0.144858 	136.96   	1.97 (1.46%)
165 	Anadarko Petroleum Corporation                      	APC    	0.144725 	70.80    	-0.19 (-0.27%)
166 	Dow Inc.                                            	DOW    	0.144524 	47.99    	0.12 (0.26%)
167 	Activision Blizzard Inc.                            	ATVI   	0.143545 	46.74    	0.37 (0.79%)
168 	Humana Inc.                                         	HUM    	0.142444 	266.20   	6.06 (2.33%)
169 	Delta Air Lines Inc.                                	DAL    	0.141942 	59.49    	0.53 (0.90%)
170 	Welltower Inc.                                      	WELL   	0.140898 	86.82    	0.72 (0.83%)
171 	Allstate Corporation                                	ALL    	0.140890 	104.20   	-0.47 (-0.44%)
172 	Williams Companies Inc.                             	WMB    	0.139929 	28.97    	0.23 (0.80%)
173 	Valero Energy Corporation                           	VLO    	0.139549 	82.29    	0.05 (0.06%)
174 	Eaton Corp. Plc                                     	ETN    	0.138020 	79.70    	-0.55 (-0.69%)
175 	Yum! Brands Inc.                                    	YUM    	0.136111 	110.85   	0.36 (0.33%)
176 	Sysco Corporation                                   	SYY    	0.135919 	71.98    	0.49 (0.69%)
177 	Johnson Controls International plc                  	JCI    	0.133941 	41.57    	-0.08 (-0.19%)
178 	Constellation Brands Inc. Class A                   	STZ    	0.132757 	200.13   	2.09 (1.06%)
179 	Moody's Corporation                                 	MCO    	0.132479 	200.67   	2.62 (1.32%)
180 	eBay Inc.                                           	EBAY   	0.132231 	40.03    	0.09 (0.21%)
181 	TE Connectivity Ltd.                                	TEL    	0.127951 	94.28    	0.29 (0.31%)
182 	General Mills Inc.                                  	GIS    	0.127906 	54.51    	1.20 (2.24%)
183 	Newmont Goldcorp Corporation                        	NEM    	0.127334 	39.04    	0.28 (0.72%)
184 	HP Inc.                                             	HPQ    	0.127105 	20.79    	0.16 (0.78%)
185 	Xcel Energy Inc.                                    	XEL    	0.126645 	61.33    	0.44 (0.72%)
186 	O'Reilly Automotive Inc.                            	ORLY   	0.123128 	388.08   	2.87 (0.74%)
187 	Public Service Enterprise Group Inc                 	PEG    	0.121971 	60.31    	0.29 (0.48%)
188 	Ingersoll-Rand Plc                                  	IR     	0.120928 	124.69   	0.65 (0.52%)
189 	Xilinx Inc.                                         	XLNX   	0.119444 	118.09   	0.75 (0.64%)
190 	AvalonBay Communities Inc.                          	AVB    	0.119167 	213.55   	2.04 (0.96%)
191 	Advanced Micro Devices Inc.                         	AMD    	0.118814 	33.82    	0.67 (2.01%)
192 	Equity Residential                                  	EQR    	0.117981 	79.82    	0.50 (0.63%)
193 	Amphenol Corporation Class A                        	APH    	0.117797 	97.73    	0.15 (0.15%)
194 	Hilton Worldwide Holdings Inc                       	HLT    	0.117459 	98.86    	-0.15 (-0.15%)
195 	Consolidated Edison Inc.                            	ED     	0.117272 	89.12    	0.40 (0.45%)
196 	ONEOK Inc.                                          	OKE    	0.115560 	70.28    	0.46 (0.66%)
197 	SunTrust Banks Inc.                                 	STI    	0.114707 	64.13    	-0.24 (-0.37%)
198 	Motorola Solutions Inc.                             	MSI    	0.113445 	171.03   	0.68 (0.40%)
199 	AutoZone Inc.                                       	AZO    	0.113384 	1,146.05 	2.96 (0.26%)
200 	V.F. Corporation                                    	VFC    	0.113306 	87.21    	0.45 (0.52%)
201 	Alexion Pharmaceuticals Inc.                        	ALXN   	0.112955 	125.02   	-0.70 (-0.56%)
202 	Lam Research Corporation                            	LRCX   	0.112265 	185.15   	2.07 (1.13%)
